image_name,is_cropped,total_area,roi_area,processing_time
image.7738_with_target,False,19428,19428,-1740975922874.3293
image.5266_with_target,False,19461,19456,-1740975922874.142
image.6999_with_target,False,19218,19213,-1740975922874.4048
image.4676_with_target,False,20617,20612,-1740975922873.319
image.4292_with_target,False,20582,20582,-1740975922873.301
image.9061_with_target,False,19244,19244,-1740975922873.9985
image.5403_with_target,False,20651,20646,-1740975922872.8179
image.1098_with_target,False,19695,19661,-1740975922873.1992
image.5284_with_target,False,19699,19691,-1740975922873.5405
image.0366_with_target,False,19246,19235,-1740975922873.3108
image.9614_with_target,False,19250,19245,-1740975922873.4148
image.3090_with_target,False,20622,20617,-1740975922873.9607
image.3349_with_target,False,21138,21138,-1740975922870.6228
image.4009_with_target,False,19613,19605,-1740975922873.9036
image.8781_with_target,False,19263,19250,-1740975922874.0938
image.3278_with_target,False,19414,19353,-1740975922872.135
image.0427_with_target,False,20564,20564,-1740975922872.664
image.2819_with_target,False,19753,19692,-1740975922873.838
image.8957_with_target,False,19227,19227,-1740975922874.2405
image.1096_with_target,False,19721,19543,-1740975922874.3608
image.5525_with_target,False,20846,20846,-1740975922873.0232
image.2206_with_target,False,19780,19767,-1740975922874.4067
image.5035_with_target,False,19519,19514,-1740975922874.3823
image.1024_with_target,False,19441,19352,-1740975922874.2449
image.6347_with_target,False,19279,19274,-1740975922874.4048
image.0023_with_target,False,19249,19239,-1740975922873.513
image.3993_with_target,False,21228,21212,-1740975922873.9287
image.9700_with_target,False,20700,20692,-1740975922874.4434
image.8060_with_target,False,20672,19234,-1740975922874.2314
image.3350_with_target,False,20698,20698,-1740975922874.1548
image.9142_with_target,False,19743,19729,-1740975922874.1611
image.0780_with_target,False,19570,19557,-1740975922874.3843
image.1610_with_target,False,20731,20726,-1740975922874.1272
image.2055_with_target,False,19802,19776,-1740975922874.3657
image.3102_with_target,False,20955,20942,-1740975922873.631
image.5060_with_target,False,19588,19583,-1740975922873.9932
image.4425_with_target,False,19240,19230,-1740975922873.9834
image.5981_with_target,False,19466,19466,-1740975922873.9763
image.3825_with_target,False,20610,20605,-1740975922874.2148
image.6051_with_target,False,19298,19285,-1740975922874.2732
image.6565_with_target,False,19473,19391,-1740975922874.2056
image.8614_with_target,False,20675,20623,-1740975922873.9258
image.7728_with_target,False,19312,19312,-1740975922874.4148
image.3264_with_target,False,19272,19250,-1740975922874.385
image.8255_with_target,False,19179,19165,-1740975922872.657
image.3354_with_target,False,19295,19295,-1740975922873.3545
image.4408_with_target,False,19831,19821,-1740975922873.9956
image.5958_with_target,False,19527,19522,-1740975922874.319
image.5755_with_target,False,19266,19241,-1740975922873.6306
image.9096_with_target,False,19502,19491,-1740975922873.6848
image.5068_with_target,False,20684,20670,-1740975922873.4106
image.7158_with_target,False,19252,19239,-1740975922874.3616
image.4247_with_target,False,20521,20513,-1740975922874.3948
image.9169_with_target,False,19454,19378,-1740975922874.3206
image.4312_with_target,False,19200,19200,-1740975922873.558
image.8572_with_target,False,20687,20676,-1740975922874.0398
image.8876_with_target,False,20502,20494,-1740975922874.0452
image.8599_with_target,False,19891,19886,-1740975922874.2437
image.4280_with_target,False,19263,19249,-1740975922873.82
image.9972_with_target,False,19292,19279,-1740975922874.2805
image.4259_with_target,False,19779,19771,-1740975922873.9563
image.1278_with_target,False,20902,20674,-1740975922873.9353
image.4929_with_target,False,19898,19898,-1740975922872.7644
image.9258_with_target,False,19264,19264,-1740975922871.9375
image.7180_with_target,False,19440,19432,-1740975922874.1528
image.4896_with_target,False,20634,20621,-1740975922874.0535
image.3030_with_target,False,19896,19877,-1740975922874.1655
image.5152_with_target,False,20826,20777,-1740975922872.8057
image.2782_with_target,False,19296,19220,-1740975922874.1348
image.4505_with_target,False,20713,20688,-1740975922874.2986
image.7026_with_target,False,19209,19204,-1740975922874.3445
image.2966_with_target,False,19243,19233,-1740975922873.6367
image.0796_with_target,False,19337,19327,-1740975922872.0112
image.6757_with_target,False,19234,19221,-1740975922870.7734
image.8383_with_target,False,19255,19242,-1740975922872.2046
image.3799_with_target,False,19308,19297,-1740975922873.5352
image.7248_with_target,False,19305,19281,-1740975922874.2227
image.6937_with_target,False,19591,19586,-1740975922874.0974
image.2607_with_target,False,19876,19866,-1740975922874.0708
image.6131_with_target,False,20719,20682,-1740975922874.219
image.8006_with_target,False,19236,19226,-1740975922867.9639
image.5538_with_target,False,19226,19218,-1740975922873.5544
image.1066_with_target,False,19365,19360,-1740975922874.2524
image.0615_with_target,False,19339,19326,-1740975922874.413
image.3832_with_target,False,19226,19226,-1740975922874.128
image.9170_with_target,False,19371,19366,-1740975922873.9783
image.8894_with_target,False,19360,19347,-1740975922872.7214
image.7223_with_target,False,19212,19207,-1740975922874.1938
image.7737_with_target,False,20902,20859,-1740975922874.1875
image.8672_with_target,False,20757,20679,-1740975922874.2986
image.1925_with_target,False,19434,19429,-1740975922873.9517
image.0858_with_target,False,19670,19665,-1740975922873.1152
image.8902_with_target,False,19790,19776,-1740975922874.0935
image.0711_with_target,False,19345,19340,-1740975922873.9326
image.4412_with_target,False,19246,19233,-1740975922874.4128
image.3279_with_target,False,19340,19330,-1740975922874.2178
image.9027_with_target,False,19225,19211,-1740975922874.2966
image.3543_with_target,False,19380,19372,-1740975922873.411
image.1045_with_target,False,19323,19318,-1740975922873.1694
image.7703_with_target,False,21032,21014,-1740975922871.0298
image.0873_with_target,False,20665,20665,-1740975922874.4338
image.7848_with_target,False,20689,20681,-1740975922873.775
image.5777_with_target,False,19446,19446,-1740975922873.7915
image.7489_with_target,False,19755,19732,-1740975922874.0505
image.0394_with_target,False,19348,19314,-1740975922873.7908
image.0404_with_target,False,19234,19234,-1740975922874.4482
image.8435_with_target,False,19671,19671,-1740975922874.2463
image.6237_with_target,False,19680,19600,-1740975922874.2227
image.9755_with_target,False,19314,19306,-1740975922873.8918
image.3913_with_target,False,19255,19255,-1740975922873.5837
image.5957_with_target,False,20140,20029,-1740975922874.3452
image.2886_with_target,False,20649,20644,-1740975922872.509
image.1891_with_target,False,19610,19602,-1740975922858.8691
image.3750_with_target,False,20648,20648,-1740975922871.0645
image.9776_with_target,False,20651,20646,-1740975922872.83
image.5724_with_target,False,19277,19243,-1740975922873.5671
image.2579_with_target,False,19307,19277,-1740975922874.1018
image.4013_with_target,False,19707,19697,-1740975922874.4858
image.2444_with_target,False,20594,20551,-1740975922874.054
image.1584_with_target,True,83,83,-1740975922875.0479
image.2375_with_target,True,1403,1403,-1740975922875.07
image.1081_with_target,True,5,5,-1740975922873.774
image.0401_with_target,True,590,590,-1740975922874.9402
image.4744_with_target,True,97,97,-1740975922874.6516
image.8553_with_target,True,10,10,-1740975922875.026
image.5135_with_target,True,125,125,-1740975922875.004
image.6567_with_target,True,28,28,-1740975922875.1099
image.4031_with_target,True,540,540,-1740975922875.0486
image.0693_with_target,True,49,49,-1740975922874.9324
image.7884_with_target,True,1367,1367,-1740975922875.0813
image.3423_with_target,True,5,5,-1740975922875.0957
image.4586_with_target,True,65,65,-1740975922875.0635
image.9419_with_target,True,5,5,-1740975922874.7646
image.7031_with_target,True,5,5,-1740975922875.017
image.3402_with_target,True,5,5,-1740975922874.1443
image.8347_with_target,True,99,99,-1740975922874.5942
image.3307_with_target,True,1376,1376,-1740975922875.0037
image.5821_with_target,True,5,5,-1740975922875.1255
image.0319_with_target,True,134,134,-1740975922875.0757
image.0903_with_target,True,117,117,-1740975922875.0864
image.2415_with_target,True,52,52,-1740975922874.8938
image.1747_with_target,True,1369,1369,-1740975922875.0415
image.4480_with_target,True,701,701,-1740975922875.0837
image.3682_with_target,True,510,510,-1740975922874.585
image.7199_with_target,True,1448,1448,-1740975922875.0684
