image_name,cell_count,mean_deformability,std_deformability,min_deformability,max_deformability,mean_area,total_area
image.6154_with_target,8,1.0,0.0,1.0,1.0,2639.375,21115
image.6157_with_target,2,1.0,0.0,1.0,1.0,9972.5,19945
image.6160_with_target,2,1.0,0.0,1.0,1.0,9952.5,19905
image.6230_with_target,3,1.0,0.0,1.0,1.0,6413.0,19239
image.6232_with_target,2,1.0,0.0,1.0,1.0,9992.0,19984
image.6237_with_target,9,1.0,0.0,1.0,1.0,2208.6666666666665,19878
image.6269_with_target,5,1.0,0.0,1.0,1.0,4409.4,22047
image.6294_with_target,2,1.0,0.0,1.0,1.0,9990.5,19981
image.6309_with_target,9,1.0,0.0,1.0,1.0,2246.4444444444443,20218
image.6310_with_target,2,1.0,0.0,1.0,1.0,9998.0,19996
image.6331_with_target,5,1.0,0.0,1.0,1.0,4012.2,20061
image.6334_with_target,2,1.0,0.0,1.0,1.0,9985.0,19970
image.6347_with_target,7,1.0,0.0,1.0,1.0,2759.714285714286,19318
image.6398_with_target,3,1.0,0.0,1.0,1.0,6739.666666666667,20219
image.6417_with_target,2,1.0,0.0,1.0,1.0,9982.0,19964
image.6424_with_target,2,1.0,0.0,1.0,1.0,9984.5,19969
image.6477_with_target,2,1.0,0.0,1.0,1.0,9988.0,19976
image.6495_with_target,4,1.0,0.0,1.0,1.0,4992.75,19971
image.6520_with_target,9,1.0,0.0,1.0,1.0,2298.8888888888887,20690
image.6531_with_target,5,1.0,0.0,1.0,1.0,7839.8,39199
image.6540_with_target,8,1.0,0.0,1.0,1.0,2531.0,20248
image.6546_with_target,4,1.0,0.0,1.0,1.0,5760.25,23041
image.6565_with_target,7,1.0,0.0,1.0,1.0,2788.4285714285716,19519
image.6567_with_target,5,1.0,0.0,1.0,1.0,3850.0,19250
image.6575_with_target,6,1.0,0.0,1.0,1.0,3223.8333333333335,19343
image.6584_with_target,7,1.0,0.0,1.0,1.0,2941.4285714285716,20590
image.6587_with_target,4,1.0,0.0,1.0,1.0,6050.0,24200
image.6590_with_target,3,1.0,0.0,1.0,1.0,8000.666666666667,24002
image.6595_with_target,2,1.0,0.0,1.0,1.0,9987.0,19974
image.6613_with_target,3,1.0,0.0,1.0,1.0,8356.333333333334,25069
image.6633_with_target,8,1.0,0.0,1.0,1.0,2510.375,20083
image.6639_with_target,11,1.0,0.0,1.0,1.0,1868.8181818181818,20557
image.6682_with_target,5,1.0,0.0,1.0,1.0,3879.4,19397
image.6697_with_target,4,1.0,0.0,1.0,1.0,5040.75,20163
image.6701_with_target,2,1.0,0.0,1.0,1.0,9981.0,19962
image.6703_with_target,2,1.0,0.0,1.0,1.0,9993.0,19986
image.6757_with_target,3,1.0,0.0,1.0,1.0,6408.666666666667,19226
image.6791_with_target,2,1.0,0.0,1.0,1.0,9994.0,19988
image.6796_with_target,3,1.0,0.0,1.0,1.0,8377.333333333334,25132
image.6806_with_target,2,1.0,0.0,1.0,1.0,9998.0,19996
image.6814_with_target,8,1.0,0.0,1.0,1.0,2585.125,20681
image.6844_with_target,7,1.0,0.0,1.0,1.0,3031.8571428571427,21223
image.6859_with_target,4,1.0,0.0,1.0,1.0,5007.75,20031
image.6862_with_target,2,1.0,0.0,1.0,1.0,9987.0,19974
image.6883_with_target,5,1.0,0.0,1.0,1.0,4128.8,20644
image.6887_with_target,5,1.0,0.0,1.0,1.0,4052.8,20264
image.6889_with_target,2,1.0,0.0,1.0,1.0,9983.5,19967
image.6899_with_target,9,1.0,0.0,1.0,1.0,4945.666666666667,44511
image.6929_with_target,2,1.0,0.0,1.0,1.0,9999.5,19999
image.6937_with_target,8,1.0,0.0,1.0,1.0,2486.625,19893
image.6965_with_target,3,1.0,0.0,1.0,1.0,8308.0,24924
image.6993_with_target,4,1.0,0.0,1.0,1.0,5018.0,20072
image.6994_with_target,4,1.0,0.0,1.0,1.0,5353.5,21414
image.6999_with_target,3,1.0,0.0,1.0,1.0,6406.0,19218
image.7026_with_target,3,1.0,0.0,1.0,1.0,6403.0,19209
image.7031_with_target,3,1.0,0.0,1.0,1.0,6418.666666666667,19256
image.7036_with_target,4,1.0,0.0,1.0,1.0,5734.25,22937
image.7046_with_target,2,1.0,0.0,1.0,1.0,9983.0,19966
image.7064_with_target,2,1.0,0.0,1.0,1.0,9993.5,19987
image.7069_with_target,2,1.0,0.0,1.0,1.0,9995.0,19990
image.7074_with_target,5,1.0,0.0,1.0,1.0,3899.4,19497
image.7075_with_target,2,1.0,0.0,1.0,1.0,12285.5,24571
image.7086_with_target,6,1.0,0.0,1.0,1.0,3565.3333333333335,21392
image.7106_with_target,4,1.0,0.0,1.0,1.0,5533.25,22133
image.7116_with_target,2,1.0,0.0,1.0,1.0,9985.5,19971
image.7124_with_target,2,1.0,0.0,1.0,1.0,9976.5,19953
image.7158_with_target,3,1.0,0.0,1.0,1.0,6414.666666666667,19244
image.7180_with_target,8,1.0,0.0,1.0,1.0,2462.75,19702
image.7199_with_target,4,1.0,0.0,1.0,1.0,5544.75,22179
image.7223_with_target,3,1.0,0.0,1.0,1.0,6404.0,19212
image.7230_with_target,2,1.0,0.0,1.0,1.0,12497.0,24994
image.7248_with_target,4,1.0,0.0,1.0,1.0,4827.5,19310
image.7300_with_target,2,1.0,0.0,1.0,1.0,9941.0,19882
image.7325_with_target,3,1.0,0.0,1.0,1.0,6699.666666666667,20099
image.7347_with_target,6,1.0,0.0,1.0,1.0,3260.0,19560
image.7382_with_target,5,1.0,0.0,1.0,1.0,4038.0,20190
image.7402_with_target,3,1.0,0.0,1.0,1.0,6406.0,19218
image.7441_with_target,2,1.0,0.0,1.0,1.0,9975.0,19950
image.7459_with_target,2,1.0,0.0,1.0,1.0,9996.5,19993
image.7463_with_target,2,1.0,0.0,1.0,1.0,9980.5,19961
image.7480_with_target,4,1.0,0.0,1.0,1.0,5683.25,22733
image.7489_with_target,5,1.0,0.0,1.0,1.0,4036.6,20183
image.7492_with_target,2,1.0,0.0,1.0,1.0,10006.0,20012
image.7494_with_target,2,1.0,0.0,1.0,1.0,10049.0,20098
image.7497_with_target,2,1.0,0.0,1.0,1.0,10035.5,20071
image.7552_with_target,10,1.0,0.0,1.0,1.0,2059.3,20593
image.7569_with_target,6,1.0,0.0,1.0,1.0,3356.5,20139
image.7573_with_target,2,1.0,0.0,1.0,1.0,10006.0,20012
image.7581_with_target,15,1.0,0.0,1.0,1.0,1297.4666666666667,19462
image.7583_with_target,2,1.0,0.0,1.0,1.0,10000.0,20000
image.7613_with_target,3,1.0,0.0,1.0,1.0,6711.0,20133
image.7627_with_target,2,1.0,0.0,1.0,1.0,10015.0,20030
image.7640_with_target,8,1.0,0.0,1.0,1.0,2510.375,20083
image.7643_with_target,4,1.0,0.0,1.0,1.0,4997.5,19990
image.7650_with_target,2,1.0,0.0,1.0,1.0,9998.5,19997
image.7672_with_target,5,1.0,0.0,1.0,1.0,4218.6,21093
image.7703_with_target,6,1.0,0.0,1.0,1.0,3581.5,21489
image.7723_with_target,10,1.0,0.0,1.0,1.0,2028.3,20283
image.7728_with_target,8,1.0,0.0,1.0,1.0,2426.0,19408
image.7733_with_target,2,1.0,0.0,1.0,1.0,9989.5,19979
image.7735_with_target,6,1.0,0.0,1.0,1.0,3356.6666666666665,20140
image.7737_with_target,4,1.0,0.0,1.0,1.0,5586.75,22347
image.7738_with_target,8,1.0,0.0,1.0,1.0,2447.875,19583
image.7762_with_target,2,1.0,0.0,1.0,1.0,10008.0,20016
image.7766_with_target,2,1.0,0.0,1.0,1.0,10018.0,20036
image.7777_with_target,9,1.0,0.0,1.0,1.0,2284.5555555555557,20561
image.7780_with_target,11,1.0,0.0,1.0,1.0,1849.1818181818182,20341
image.7782_with_target,3,1.0,0.0,1.0,1.0,6669.0,20007
image.7833_with_target,12,1.0,0.0,1.0,1.0,1706.9166666666667,20483
image.7846_with_target,8,1.0,0.0,1.0,1.0,2607.875,20863
image.7848_with_target,4,1.0,0.0,1.0,1.0,5517.5,22070
image.7849_with_target,6,1.0,0.0,1.0,1.0,3546.0,21276
image.7879_with_target,7,1.0,0.0,1.0,1.0,2902.4285714285716,20317
image.7884_with_target,5,1.0,0.0,1.0,1.0,4416.2,22081
image.7894_with_target,2,1.0,0.0,1.0,1.0,10014.0,20028
image.7905_with_target,2,1.0,0.0,1.0,1.0,10010.0,20020
image.7907_with_target,2,1.0,0.0,1.0,1.0,10008.0,20016
image.7909_with_target,2,1.0,0.0,1.0,1.0,10003.5,20007
image.7950_with_target,2,1.0,0.0,1.0,1.0,10013.0,20026
image.7965_with_target,2,1.0,0.0,1.0,1.0,10015.0,20030
image.8006_with_target,3,1.0,0.0,1.0,1.0,6410.333333333333,19231
image.8032_with_target,3,1.0,0.0,1.0,1.0,6422.666666666667,19268
image.8046_with_target,7,1.0,0.0,1.0,1.0,2957.0,20699
image.8059_with_target,2,1.0,0.0,1.0,1.0,12349.0,24698
image.8060_with_target,3,1.0,0.0,1.0,1.0,6413.0,19239
image.8092_with_target,5,1.0,0.0,1.0,1.0,4332.6,21663
image.8101_with_target,9,1.0,0.0,1.0,1.0,2344.6666666666665,21102
image.8132_with_target,4,1.0,0.0,1.0,1.0,5366.25,21465
image.8134_with_target,7,1.0,0.0,1.0,1.0,3111.285714285714,21779
image.8136_with_target,4,1.0,0.0,1.0,1.0,4993.75,19975
image.8180_with_target,4,1.0,0.0,1.0,1.0,5047.75,20191
image.8196_with_target,3,1.0,0.0,1.0,1.0,6409.0,19227
image.8219_with_target,7,1.0,0.0,1.0,1.0,3033.5714285714284,21235
image.8249_with_target,4,1.0,0.0,1.0,1.0,5024.0,20096
image.8255_with_target,3,1.0,0.0,1.0,1.0,6390.0,19170
image.8281_with_target,2,1.0,0.0,1.0,1.0,9979.5,19959
image.8293_with_target,8,1.0,0.0,1.0,1.0,2510.875,20087
image.8294_with_target,2,1.0,0.0,1.0,1.0,9997.0,19994
image.8339_with_target,2,1.0,0.0,1.0,1.0,10019.0,20038
image.8347_with_target,7,1.0,0.0,1.0,1.0,2785.4285714285716,19498
image.8362_with_target,3,1.0,0.0,1.0,1.0,8275.333333333334,24826
image.8366_with_target,5,1.0,0.0,1.0,1.0,4428.6,22143
image.8383_with_target,3,1.0,0.0,1.0,1.0,6415.666666666667,19247
image.8388_with_target,6,1.0,0.0,1.0,1.0,3335.5,20013
image.8400_with_target,3,1.0,0.0,1.0,1.0,8338.666666666666,25016
image.8407_with_target,9,1.0,0.0,1.0,1.0,2360.4444444444443,21244
image.8411_with_target,7,1.0,0.0,1.0,1.0,2899.285714285714,20295
image.8412_with_target,2,1.0,0.0,1.0,1.0,9995.0,19990
image.8414_with_target,2,1.0,0.0,1.0,1.0,9997.0,19994
image.8425_with_target,3,1.0,0.0,1.0,1.0,6404.666666666667,19214
image.8435_with_target,7,1.0,0.0,1.0,1.0,2871.714285714286,20102
image.8482_with_target,9,1.0,0.0,1.0,1.0,2236.222222222222,20126
image.8484_with_target,6,1.0,0.0,1.0,1.0,3307.1666666666665,19843
image.8491_with_target,6,1.0,0.0,1.0,1.0,3226.3333333333335,19358
image.8495_with_target,10,1.0,0.0,1.0,1.0,2029.7,20297
image.8501_with_target,2,1.0,0.0,1.0,1.0,9993.0,19986
image.8504_with_target,2,1.0,0.0,1.0,1.0,9971.5,19943
image.8553_with_target,4,1.0,0.0,1.0,1.0,4817.75,19271
image.8572_with_target,5,1.0,0.0,1.0,1.0,4419.4,22097
image.8591_with_target,4,1.0,0.0,1.0,1.0,5000.75,20003
image.8599_with_target,8,1.0,0.0,1.0,1.0,5058.125,40465
image.8612_with_target,4,1.0,0.0,1.0,1.0,5318.0,21272
image.8614_with_target,4,1.0,0.0,1.0,1.0,5500.25,22001
image.8619_with_target,4,1.0,0.0,1.0,1.0,5066.0,20264
image.8654_with_target,6,1.0,0.0,1.0,1.0,3338.3333333333335,20030
image.8670_with_target,4,1.0,0.0,1.0,1.0,4886.0,19544
