image_name,cell_count,mean_deformability,std_deformability,min_deformability,max_deformability,mean_area,total_area
image_6324_with_target,4,0.5,0.0,0.5,0.5,1672.25,6689
image_6333_with_target,9,0.5,0.0,0.5,0.5,902.4444444444445,8122
image_6334_with_target,10,0.5,0.0,0.5,0.5,412.4,4124
image_6340_with_target,2,0.5,0.0,0.5,0.5,1976.0,3952
image_6342_with_target,15,0.5,0.0,0.5,0.5,499.8,7497
image_6354_with_target,4,0.5,0.0,0.5,0.5,1006.0,4024
image_6388_with_target,4,0.5,0.0,0.5,0.5,1272.5,5090
image_6432_with_target,4,0.5,0.0,0.5,0.5,1295.25,5181
image_6438_with_target,10,0.5,0.0,0.5,0.5,1597.4,15974
image_6444_with_target,5,0.5,0.0,0.5,0.5,938.2,4691
image_6447_with_target,8,0.5,0.0,0.5,0.5,1015.875,8127
image_6465_with_target,4,0.5,0.0,0.5,0.5,2042.25,8169
image_6541_with_target,4,0.5,0.0,0.5,0.5,2062.5,8250
image_6549_with_target,2,0.5,0.0,0.5,0.5,2607.5,5215
image_6558_with_target,3,0.5,0.0,0.5,0.5,2713.0,8139
image_6559_with_target,3,0.5,0.0,0.5,0.5,2692.3333333333335,8077
image_6561_with_target,2,0.5,0.0,0.5,0.5,3947.0,7894
image_6589_with_target,17,0.5,0.0,0.5,0.5,291.6470588235294,4958
image_6599_with_target,4,0.5,0.0,0.5,0.5,2024.5,8098
image_6629_with_target,4,0.5,0.0,0.5,0.5,2048.0,8192
image_6650_with_target,2,0.5,0.0,0.5,0.5,4260.0,8520
image_6652_with_target,12,0.5,0.0,0.5,0.5,663.0833333333334,7957
image_6676_with_target,6,0.5,0.0,0.5,0.5,1344.6666666666667,8068
image_6691_with_target,2,0.5,0.0,0.5,0.5,3923.0,7846
image_6695_with_target,10,0.5,0.0,0.5,0.5,514.3,5143
image_6735_with_target,8,0.5,0.0,0.5,0.5,683.25,5466
image_6742_with_target,3,0.5,0.0,0.5,0.5,2227.3333333333335,6682
image_6756_with_target,5,0.5,0.0,0.5,0.5,987.0,4935
image_6772_with_target,4,0.5,0.0,0.5,0.5,1314.75,5259
image_6788_with_target,3,0.5,0.0,0.5,0.5,2791.3333333333335,8374
image_6794_with_target,3,0.5,0.0,0.5,0.5,2756.0,8268
image_6796_with_target,5,0.5,0.0,0.5,0.5,1615.8,8079
image_6798_with_target,2,0.5,0.0,0.5,0.5,2597.0,5194
image_6807_with_target,4,0.5,0.0,0.5,0.5,1783.75,7135
image_6835_with_target,6,0.5,0.0,0.5,0.5,822.6666666666666,4936
image_6842_with_target,4,0.5,0.0,0.5,0.5,1806.25,7225
