image_name,is_cropped,total_area,roi_area,num_contours
image.0440_with_target,True,5584,5584,3
image.0689_with_target,True,4056,4056,4
image.0769_with_target,True,5752,5752,2
image.0898_with_target,True,4061,4061,4
image.0932_with_target,True,3926,3926,6
image.1027_with_target,True,3923,3923,8
image.1104_with_target,True,4891,4891,3
image.1226_with_target,True,5504,5504,3
image.1269_with_target,True,3866,3866,4
image.1304_with_target,True,4524,4524,5
image.1350_with_target,True,5303,5303,3
image.1366_with_target,True,3950,3950,4
image.1452_with_target,True,3989,3989,3
image.1498_with_target,True,3874,3874,4
image.1608_with_target,True,3936,3936,4
image.1624_with_target,True,3999,3999,4
image.1644_with_target,True,5478,5478,3
image.1679_with_target,True,5588,5588,3
image.1739_with_target,True,4019,4019,4
image.1930_with_target,True,4156,4156,4
image.1938_with_target,True,3886,3886,4
image.1966_with_target,True,5498,5498,4
image.2083_with_target,True,5635,5635,3
image.2253_with_target,True,5505,5505,3
image.2354_with_target,True,5391,5391,3
image.2493_with_target,True,4243,4243,6
image.2538_with_target,True,4049,4049,6
image.2837_with_target,True,5500,5500,4
image.2845_with_target,True,4014,4014,3
image.2880_with_target,True,5162,5162,3
image.3144_with_target,True,5400,5400,3
image.3290_with_target,True,3852,3852,3
image.3387_with_target,True,5723,5723,3
image.3626_with_target,True,4048,4048,4
image.3812_with_target,True,5147,5147,3
image.3892_with_target,True,5612,5612,3
image.4148_with_target,True,4008,4008,4
image.4153_with_target,True,4081,4081,3
image.4191_with_target,True,3895,3895,3
image.4395_with_target,True,4061,4061,3
image.4493_with_target,True,3887,3887,3
image.4512_with_target,True,5343,5343,3
image.4552_with_target,True,5549,5549,3
image.4624_with_target,True,5496,5496,3
image.4905_with_target,True,3929,3929,4
image.5606_with_target,True,5483,5483,3
image.5709_with_target,True,3828,3828,4
image.5916_with_target,True,3970,3970,3
image.5917_with_target,True,3950,3950,3
image.6014_with_target,True,3977,3977,4
image.6015_with_target,True,3974,3974,5
image.6284_with_target,True,5364,5364,3
image.6807_with_target,True,5496,5496,3
image.6842_with_target,True,5544,5544,3
image.6902_with_target,True,3965,3965,4
image.6904_with_target,True,5325,5325,3
image.6977_with_target,True,5578,5578,3
image.6980_with_target,True,5322,5322,3
