image_name,is_cropped,total_area,roi_area,processing_time
image.8670_with_target,False,20908,19539,-1740975896333.0735
image.8865_with_target,False,19337,19275,-1740975896333.159
image.1268_with_target,False,19646,19641,-1740975896333.7454
image.6899_with_target,False,19333,19320,-1740975896333.7295
image.9964_with_target,False,19553,19543,-1740975896333.6138
image.9013_with_target,False,20718,20705,-1740975896333.669
image.2836_with_target,False,19295,19287,-1740975896333.61
image.7879_with_target,False,19856,19807,-1740975896333.2158
image.5827_with_target,False,19254,19249,-1740975896333.062
image.7672_with_target,False,19870,19857,-1740975896332.9421
image.8786_with_target,False,19237,19218,-1740975896333.5383
image.8366_with_target,False,20705,20691,-1740975896333.7166
image.6531_with_target,False,19254,19234,-1740975896333.6033
image.1609_with_target,False,19985,19282,-1740975896333.3005
image.4978_with_target,False,19534,19534,-1740975896333.6924
image.1517_with_target,False,20571,20561,-1740975896333.455
image.9565_with_target,False,19224,19210,-1740975896333.1758
image.8484_with_target,False,19654,19649,-1740975896333.4058
image.5396_with_target,False,20703,20703,-1740975896333.0312
image.1126_with_target,False,19265,19260,-1740975896333.431
image.0721_with_target,False,19343,19343,-1740975896333.6924
image.4025_with_target,False,19361,19320,-1740975896333.0142
image.9812_with_target,False,19230,19216,-1740975896333.1785
image.6887_with_target,False,19834,19829,-1740975896332.9106
image.4510_with_target,False,20687,20687,-1740975896333.3398
image.9156_with_target,False,19194,19186,-1740975896333.5276
image.3069_with_target,False,19507,19502,-1740975896333.3896
image.1025_with_target,False,19630,19616,-1740975896333.4038
image.3141_with_target,False,21142,20589,-1740975896333.6653
image.9757_with_target,False,19258,19244,-1740975896333.3555
image.5887_with_target,False,19620,19612,-1740975896332.5083
image.1796_with_target,False,19463,19447,-1740975896333.4707
image.6682_with_target,False,19293,19288,-1740975896333.7
image.4224_with_target,False,20653,20653,-1740975896333.697
image.5255_with_target,False,21199,19798,-1740975896333.609
image.5967_with_target,False,19301,19296,-1740975896333.3726
image.0288_with_target,False,19878,19742,-1740975896333.2852
image.8032_with_target,False,19271,19263,-1740975896333.551
image.8425_with_target,False,19217,19209,-1740975896333.2725
image.7074_with_target,False,19397,19387,-1740975896333.7227
image.4817_with_target,False,19363,19350,-1740975896329.7747
image.8491_with_target,False,19322,19309,-1740975896333.6606
image.8134_with_target,False,20512,20494,-1740975896333.7002
image.5256_with_target,False,20806,20636,-1740975896333.7007
image.3444_with_target,False,19260,19255,-1740975896333.5789
image.8196_with_target,False,19232,19222,-1740975896333.5205
image.9962_with_target,False,20835,20714,-1740975896333.5042
image.7581_with_target,False,19397,19361,-1740975896333.3135
image.1601_with_target,False,19316,19302,-1740975896333.3235
image.1537_with_target,False,20616,20600,-1740975896333.4417
image.3865_with_target,False,19257,19244,-1740975896333.2095
image.7106_with_target,False,20722,20712,-1740975896333.4617
image.5623_with_target,False,20584,20584,-1740975896333.3225
image.2695_with_target,False,19358,19342,-1740975896333.4783
image.0236_with_target,False,20687,20616,-1740975896331.0144
image.5919_with_target,False,20587,20577,-1740975896333.5366
image.7738_with_target,False,19428,19428,-1740975896332.6025
image.5266_with_target,False,19461,19456,-1740975896326.1675
image.6999_with_target,False,19218,19213,-1740975896333.3835
image.4676_with_target,False,20617,20612,-1740975896333.2788
image.4292_with_target,False,20582,20582,-1740975896333.0361
image.9061_with_target,False,19244,19244,-1740975896333.524
image.5403_with_target,False,20651,20646,-1740975896333.6118
image.1098_with_target,False,19695,19661,-1740975896333.3374
image.5284_with_target,False,19699,19691,-1740975896333.4236
image.0366_with_target,False,19246,19235,-1740975896333.6338
image.9614_with_target,False,19250,19245,-1740975896333.6597
image.3090_with_target,False,20622,20617,-1740975896332.7295
image.3349_with_target,False,21138,21138,-1740975896333.4302
image.4009_with_target,False,19613,19605,-1740975896332.895
image.8781_with_target,False,19263,19250,-1740975896333.4814
image.3278_with_target,False,19414,19353,-1740975896331.4185
image.0427_with_target,False,20564,20564,-1740975896333.5784
image.2819_with_target,False,19753,19692,-1740975896333.6086
image.8957_with_target,False,19227,19227,-1740975896333.673
image.1096_with_target,False,19721,19543,-1740975896333.426
image.5525_with_target,False,20846,20846,-1740975896333.6565
image.2206_with_target,False,19780,19767,-1740975896333.2498
image.5035_with_target,False,19519,19514,-1740975896333.0928
image.1024_with_target,False,19441,19352,-1740975896333.5083
image.6347_with_target,False,19279,19274,-1740975896333.477
image.0023_with_target,False,19249,19239,-1740975896333.4348
image.3993_with_target,False,21228,21212,-1740975896333.4504
image.9700_with_target,False,20700,20692,-1740975896333.6812
image.8060_with_target,False,20672,19234,-1740975896333.2417
image.3350_with_target,False,20698,20698,-1740975896333.699
image.9142_with_target,False,19743,19729,-1740975896332.779
image.0780_with_target,False,19570,19557,-1740975896332.1294
image.1610_with_target,False,20731,20726,-1740975896333.0295
image.2055_with_target,False,19802,19776,-1740975896332.9976
image.3102_with_target,False,20955,20942,-1740975896333.391
image.5060_with_target,False,19588,19583,-1740975896333.659
