image_name,cell_count,mean_deformability,std_deformability,min_deformability,max_deformability,mean_area,total_area
image_9034_with_target,11,0.5,0.0,0.5,0.5,1377.8181818181818,15156
image_9035_with_target,10,0.5,0.0,0.5,0.5,1744.8,17448
image_9106_with_target,5,0.5,0.0,0.5,0.5,4745.0,23725
image_9138_with_target,7,0.5,0.0,0.5,0.5,225.14285714285714,1576
image_9163_with_target,9,0.5,0.0,0.5,0.5,8.11111111111111,73
image_9234_with_target,8,0.5,0.0,0.5,0.5,2919.875,23359
image_9300_with_target,7,0.5,0.0,0.5,0.5,212.85714285714286,1490
image_9328_with_target,7,0.5,0.0,0.5,0.5,211.85714285714286,1483
image_9346_with_target,9,0.5,0.0,0.5,0.5,15.222222222222221,137
image_9365_with_target,10,0.5,0.0,0.5,0.5,12.8,128
image_9402_with_target,11,0.5,0.0,0.5,0.5,6.181818181818182,68
image_9428_with_target,4,0.5,0.0,0.5,0.5,5971.25,23885
image_9429_with_target,4,0.5,0.0,0.5,0.5,5973.75,23895
image_9433_with_target,6,0.5,0.0,0.5,0.5,12.833333333333334,77
image_9441_with_target,11,0.5,0.0,0.5,0.5,1449.090909090909,15940
image_9460_with_target,11,0.5,0.0,0.5,0.5,2121.909090909091,23341
image_9557_with_target,10,0.5,0.0,0.5,0.5,1799.7,17997
image_9573_with_target,7,0.5,0.0,0.5,0.5,257.14285714285717,1800
image_9590_with_target,5,0.5,0.0,0.5,0.5,21.0,105
image_9631_with_target,12,0.5,0.0,0.5,0.5,8.916666666666666,107
image_9633_with_target,7,0.5,0.0,0.5,0.5,16.428571428571427,115
image_9686_with_target,10,0.5,0.0,0.5,0.5,8.4,84
image_9706_with_target,6,0.5,0.0,0.5,0.5,4460.0,26760
image_9724_with_target,4,0.5,0.0,0.5,0.5,6721.75,26887
image_9888_with_target,14,0.5,0.0,0.5,0.5,1925.2857142857142,26954
image_9923_with_target,15,0.5,0.0,0.5,0.5,979.6666666666666,14695
image_9985_with_target,11,0.5,0.0,0.5,0.5,1314.7272727272727,14462
